codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,votos_validos,votos_cepeda,pct_cepeda,ganador_codpar,ganador_pct,potencial_no_votante,brecha_votos_vs_ganador,nbi_score,score_oportunidad
01151,ITAGUI,ANTIOQUIA,Antioquia metropolitana,267999,161696,39461,24.4,10,56.06,106303,51195,0.4,67781.0
11001,POPAYAN,CAUCA,Pacífico indígena/campesino,269520,184022,104468,56.76,7,56.76,85498,0,0.4,65584.0
48001,RIOHACHA,LA GUAJIRA,Caribe norte,156388,69900,37453,53.58,7,53.58,86488,0,0.4,65240.0
31106,TULUA,VALLE,Valle del Cauca,173667,98087,43107,43.94,7,43.94,75580,0,0.4,54099.0
27019,BARRANCABERMEJA,SANTANDER,Magdalena Medio,188674,119407,69511,58.21,7,58.21,69267,0,0.4,53533.0
24025,DOSQUEBRADAS,RISARALDA,Eje cafetero,181405,107908,40698,37.71,10,43.44,73497,6183,0.4,50776.0
01121,ENVIGADO,ANTIOQUIA,Antioquia metropolitana,244817,163223,23934,14.66,10,65.4,81594,82816,0.4,48847.0
05028,MAGANGUE,BOLIVAR,Caribe + Magdalena Medio,104516,45395,27393,60.34,7,60.34,59121,0,0.4,46196.0
27082,FLORIDABLANCA,SANTANDER,Santanderes urbanos,224184,156443,42163,26.95,10,57.55,67741,47870,0.4,43883.0
01280,TURBO,ANTIOQUIA,Urabá,99961,43958,26437,60.14,7,60.14,56003,0,0.4,43714.0
01035,APARTADO,ANTIOQUIA,Urabá,109813,54380,32102,59.03,7,59.03,55433,0,0.4,43023.0
03022,MALAMBO,ATLANTICO,Caribe norte,94794,43119,29475,68.35,7,68.35,51675,0,0.4,42034.0
17001,QUIBDO,CHOCO,Pacífico afro,88487,40138,29900,74.49,7,74.49,48349,0,0.4,40515.0
44001,FLORENCIA,CAQUETA,Sur Tolima-Huila-Caquetá,137546,78308,26756,34.16,10,52.49,59238,14352,0.4,40085.0
21016,CIENAGA,MAGDALENA,Caribe norte,94405,43313,25967,59.95,7,59.95,51092,0,0.4,39842.0
48011,MANAURE,LA GUAJIRA,Caribe norte,63985,13180,7997,60.67,7,60.67,50805,0,0.4,39765.0
23067,IPIALES,NARIÑO,Sur andino Nariño,105954,56243,35198,62.58,7,62.58,49711,0,0.4,39288.0
31064,JAMUNDI,VALLE,Valle del Cauca,132159,80922,45076,55.7,7,55.7,51237,0,0.4,39084.0
31034,CARTAGO,VALLE,Valle del Cauca,122213,65738,24806,37.73,10,46.03,56475,5459,0.4,39021.0
31121,YUMBO,VALLE,Valle del Cauca,112799,65405,44723,68.37,7,68.37,47394,0,0.4,38556.0
13022,LORICA,CORDOBA,Caribe + Magdalena Medio,93485,44707,26216,58.63,7,58.63,48778,0,0.4,37781.0
25100,VILLA DEL ROSARIO,NORTE DE SAN,Norte Santander urbano (Cúcuta),108675,46776,5353,11.44,10,77.25,61899,30785,0.4,36259.0
13058,TIERRALTA,CORDOBA,Caribe + Magdalena Medio,72667,28420,17296,60.85,7,60.85,44247,0,0.4,34665.0
31022,BUGA,VALLE,Valle del Cauca,109762,64729,36630,56.58,7,56.58,45033,0,0.4,34511.0
19061,PITALITO,HUILA,Sur Tolima-Huila-Caquetá,114211,64710,21913,33.86,10,53.31,49501,12589,0.4,33436.0
27091,GIRON,SANTANDER,Santanderes urbanos,133606,85826,25499,29.71,10,56.72,47780,23183,0.4,31479.0
05118,TURBACO,BOLIVAR,Caribe + Magdalena Medio,77424,37755,22333,59.15,7,59.15,39669,0,0.4,30807.0
13037,SAHAGUN,CORDOBA,Caribe + Magdalena Medio,85106,45057,25022,55.53,7,55.53,40049,0,0.4,30523.0
01088,CAUCASIA,ANTIOQUIA,Antioquia rural uribista,77720,37015,18877,50.99,7,50.99,40705,0,0.4,30284.0
03046,SABANALARGA,ATLANTICO,Caribe norte,76674,39061,24095,61.68,7,61.68,37613,0,0.4,29592.0
40001,ARAUCA,ARAUCA,Llanos petroleros,81993,35371,7194,20.33,10,64.2,46622,15516,0.4,28969.0
31031,CANDELARIA,VALLE,Valle del Cauca,89247,54085,36468,67.42,7,67.42,35162,0,0.4,28471.0
07001,TUNJA,BOYACA,Boyacá-Cundi rural,142355,102433,44172,43.12,7,43.12,39922,0,0.4,28444.0
15094,FUSAGASUGA,CUNDINAMARCA,Bogotá región,124137,82659,27302,33.02,10,50.38,41478,14348,0.4,27878.0
46001,YOPAL,CASANARE,Llanos petroleros,135269,93390,25755,27.57,10,57.91,41879,28334,0.4,27234.0
13010,CERETE,CORDOBA,Caribe + Magdalena Medio,79044,44476,26771,60.19,7,60.19,34568,0,0.4,26990.0
27160,PIEDECUESTA,SANTANDER,Santanderes urbanos,134577,93397,26051,27.89,10,58.11,41180,28227,0.4,26832.0
