codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
11019,CALOTO,CAUCA,Pacífico indígena/campesino,21544,14717,6827,260,48,11285,76.68,2194,14.9,170,-9091,61.78000000000001
03001,BARRANQUILLA,ATLANTICO,Caribe norte,1186097,598064,588033,7248,889,281123,47.0,272331,45.53,20320,-8792,1.4699999999999989
28220,SAN ONOFRE,SUCRE,Caribe + Magdalena Medio,47066,18226,28840,198,116,12645,69.37,3925,21.53,97,-8720,47.84
11049,MIRANDA,CAUCA,Pacífico indígena/campesino,22203,14805,7398,256,36,11184,75.54,2523,17.04,220,-8661,58.50000000000001
23115,SAMANIEGO,NARIÑO,Sur andino Nariño,22785,13058,9727,220,40,10468,80.16,1870,14.32,129,-8598,65.84
03004,BARANOA,ATLANTICO,Caribe norte,53101,29255,23846,363,51,17979,61.45,9686,33.1,462,-8293,28.35
11022,CORINTO,CAUCA,Pacífico indígena/campesino,19614,12983,6631,272,50,10040,77.33,1927,14.84,117,-8113,62.489999999999995
03013,GALAPA,ATLANTICO,Caribe norte,46368,22189,24179,252,36,14528,65.47,6432,28.98,421,-8096,36.489999999999995
31061,GUACARI,VALLE,Valle del Cauca,30395,17574,12821,286,21,11944,67.96,3866,21.99,360,-8078,45.97
13058,TIERRALTA,CORDOBA,Caribe + Magdalena Medio,72667,28420,44247,455,87,17296,60.85,9331,32.83,237,-7965,28.020000000000003
11082,SILVIA,CAUCA,Pacífico indígena/campesino,24598,13219,11379,362,106,9739,73.67,2033,15.37,161,-7706,58.300000000000004
13037,SAHAGUN,CORDOBA,Caribe + Magdalena Medio,85106,45057,40049,530,88,25022,55.53,17443,38.71,430,-7579,16.82
11098,VILLA RICA,CAUCA,Pacífico indígena/campesino,15869,10024,5845,154,25,8512,84.91,939,9.36,68,-7573,75.55
11034,JAMBALO,CAUCA,Pacífico indígena/campesino,10320,8010,2310,64,52,7658,95.6,190,2.37,7,-7468,93.22999999999999
28300,TOLU,SUCRE,Caribe + Magdalena Medio,26275,13801,12474,177,33,10148,73.53,2946,21.34,91,-7202,52.19
07001,TUNJA,BOYACA,Boyacá-Cundi rural,142355,102433,39922,1866,78,44172,43.12,37018,36.13,7867,-7154,6.989999999999995
15160,MADRID,CUNDINAMARCA,Bogotá región,93544,68075,25469,1491,78,31763,46.65,24614,36.15,3549,-7149,10.5
15292,TOCANCIPA,CUNDINAMARCA,Bogotá región,43119,32953,10166,693,27,16891,51.25,9762,29.62,1770,-7129,21.63
31124,ZARZAL,VALLE,Valle del Cauca,40013,22316,17697,336,37,13457,60.3,6356,28.48,570,-7101,31.819999999999997
11029,GUACHENE,CAUCA,Pacífico indígena/campesino,14749,9841,4908,207,47,7861,79.88,1082,10.99,68,-6779,68.89
11031,INZA,CAUCA,Pacífico indígena/campesino,19391,11172,8219,163,66,8483,75.93,1714,15.34,78,-6769,60.59
13032,PUERTO LIBERTADOR,CORDOBA,Caribe + Magdalena Medio,32704,15047,17657,281,48,10511,69.85,3746,24.89,159,-6765,44.959999999999994
28160,SAMPUES,SUCRE,Caribe + Magdalena Medio,36533,20014,16519,285,69,12495,62.43,6100,30.47,153,-6395,31.96
11028,GUAPI,CAUCA,Pacífico afro,19226,7381,11845,60,11,6723,91.08,343,4.64,31,-6380,86.44
