codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
07137,LA VICTORIA,BOYACA,Boyacá-Cundi rural,1586,719,867,7,2,162,22.53,474,65.92,6,312,-43.39
46760,RECETOR,CASANARE,Llanos petroleros,1216,781,435,11,4,187,23.94,477,61.07,22,290,-37.129999999999995
07237,SAN EDUARDO,BOYACA,Boyacá-Cundi rural,1549,942,607,26,0,267,28.34,556,59.02,17,289,-30.680000000000003
07262,SATIVASUR,BOYACA,Boyacá-Cundi rural,1254,606,648,10,1,134,22.11,371,61.22,16,237,-39.11
07034,BUSBANZA,BOYACA,Boyacá-Cundi rural,980,682,298,6,0,169,24.78,404,59.23,12,235,-34.449999999999996
88340,EL SALVADOR,CONSULADOS,Exterior (consulados),848,441,407,4,0,60,13.6,279,63.26,24,219,-49.66
88665,PARAGUAY,CONSULADOS,Exterior (consulados),805,371,434,0,0,77,20.75,248,66.84,10,171,-46.09
88440,HONDURAS,CONSULADOS,Exterior (consulados),780,313,467,0,0,47,15.01,200,63.89,17,153,-48.88
88785,TRINIDAD Y TOBAGO,CONSULADOS,Exterior (consulados),318,160,158,5,0,31,19.37,91,56.87,16,60,-37.5
88335,EGIPTO,CONSULADOS,Exterior (consulados),453,161,292,3,0,38,23.6,91,56.52,8,53,-32.92
88620,NICARAGUA,CONSULADOS,Exterior (consulados),287,112,175,0,0,24,21.42,76,67.85,5,52,-46.42999999999999
88500,JAMAICA,CONSULADOS,Exterior (consulados),346,140,206,1,0,39,27.85,82,58.57,2,43,-30.72
