codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
07313,TOCA,BOYACA,Boyacá-Cundi rural,8015,4866,3149,168,8,1443,29.65,2430,49.93,128,987,-20.28
09082,PALESTINA,CALDAS,Eje cafetero,14895,7662,7233,120,36,2194,28.63,3180,41.5,195,986,-12.870000000000001
01181,MONTEBELLO,ANTIOQUIA,Antioquia rural uribista,6533,3289,3244,57,37,610,18.54,1580,48.03,133,970,-29.490000000000002
15118,GUASCA,CUNDINAMARCA,Bogotá región,12564,8587,3977,253,22,2859,33.29,3822,44.5,380,963,-11.21
15202,PUERTO SALGAR,CUNDINAMARCA,Bogotá región,13344,7441,5903,126,20,2831,38.04,3757,50.49,164,926,-12.450000000000003
24038,LA CELIA,RISARALDA,Eje cafetero,6754,3486,3268,55,24,896,25.7,1806,51.8,73,910,-26.099999999999998
01067,CAICEDO,ANTIOQUIA,Antioquia rural uribista,7295,3008,4287,71,30,493,16.38,1363,45.31,133,870,-28.930000000000003
05006,ALTOS DEL ROSARIO,BOLIVAR,Caribe + Magdalena Medio,8570,3193,5377,29,10,1104,34.57,1954,61.19,17,850,-26.619999999999997
29087,PALOCABILDO,TOLIMA,Sur Tolima-Huila-Caquetá,8607,4237,4370,74,17,1317,31.08,2160,50.97,43,843,-19.89
07298,TASCO,BOYACA,Boyacá-Cundi rural,4934,2855,2079,34,8,787,27.56,1626,56.95,60,839,-29.390000000000004
26040,GENOVA,QUINDIO,Eje cafetero,7313,3719,3594,80,15,1028,27.64,1856,49.9,101,828,-22.259999999999998
15091,FUQUENE,CUNDINAMARCA,Bogotá región,4297,2962,1335,56,5,825,27.85,1637,55.26,112,812,-27.409999999999997
21015,CHIVOLO,MAGDALENA,Caribe norte,15872,6882,8990,74,13,2873,41.74,3685,53.54,37,812,-11.799999999999997
07232,SACHICA,BOYACA,Boyacá-Cundi rural,4435,3111,1324,35,8,837,26.9,1648,52.97,265,811,-26.07
07328,TUTA,BOYACA,Boyacá-Cundi rural,8624,5685,2939,98,8,1947,34.24,2750,48.37,209,803,-14.129999999999995
13034,PURISIMA,CORDOBA,Caribe + Magdalena Medio,14689,6977,7712,85,47,2881,41.29,3679,52.73,47,798,-11.439999999999998
27080,FLORIAN,SANTANDER,Santanderes rurales,6115,3129,2986,22,8,888,28.37,1684,53.81,25,796,-25.44
01109,DABEIBA,ANTIOQUIA,Antioquia rural uribista,20588,7702,12886,144,52,2923,37.95,3711,48.18,187,788,-10.229999999999997
07157,MONGUI,BOYACA,Boyacá-Cundi rural,4026,2766,1260,27,2,766,27.69,1546,55.89,74,780,-28.2
52080,VISTA HERMOSA,META,Llanos petroleros,14441,7495,6946,194,33,2894,38.61,3670,48.96,86,776,-10.350000000000001
